Year,Type of Graph,Ticker,Industry,Degree,Weighted Degree,Eccentricity,Closness Centrality,Harmonic Closness Centrality,Betweeness Centrality,Eigen Centrality
2022,Top 200 Industries,GILD,Drugs,199,258266,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,DDOG,Unclassified,197,257682,2,0.99005,0.994975,1.908777,0.99165
2022,Top 200 Industries,CMCSA,Telcm,187,256679,2,0.943128,0.969849,0.955839,0.944716
2022,Top 200 Industries,ZNGA,Unclassified,195,256476,2,0.980296,0.98995,1.882976,0.981646
2022,Top 200 Industries,ORCL,BusSv,195,253864,2,0.980296,0.98995,1.450693,0.983222
2022,Top 200 Industries,GMBL,Unclassified,186,251424,2,0.938679,0.967337,1.387689,0.937936
2022,Top 200 Industries,ETSY,Unclassified,199,250041,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,VXRT,Whlsl,194,248451,2,0.97549,0.987437,2.055746,0.97581
2022,Top 200 Industries,CLOV,Fin,197,247772,2,0.99005,0.994975,2.116991,0.990876
2022,Top 200 Industries,TRIP,Unclassified,189,246069,2,0.952153,0.974874,1.090712,0.954224
2022,Top 200 Industries,ESE,Chips,166,244402,2,0.857759,0.917085,0.710024,0.83944
2022,Top 200 Industries,LMND,Insur,198,243324,2,0.995,0.997487,2.307124,0.995218
2022,Top 200 Industries,U,BusSv,198,242108,2,0.995,0.997487,2.161166,0.995777
2022,Top 200 Industries,DOCU,Unclassified,199,233502,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,ATER,Unclassified,196,233362,2,0.985149,0.992462,1.862655,0.986747
2022,Top 200 Industries,APT,MedEq,194,230152,2,0.97549,0.987437,2.166404,0.975386
2022,Top 200 Industries,NBY,Drugs,160,230026,2,0.836134,0.90201,0.762043,0.808097
2022,Top 200 Industries,HYMC,Unclassified,193,224909,2,0.970732,0.984925,1.683672,0.972246
2022,Top 200 Industries,KSS,Rtail,192,220694,2,0.966019,0.982412,1.351608,0.968483
2022,Top 200 Industries,LYFT,Unclassified,199,220362,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,COP,Oil,189,217951,2,0.952153,0.974874,1.040266,0.954489
2022,Top 200 Industries,AMGN,Drugs,191,217861,2,0.961353,0.979899,1.428237,0.963112
2022,Top 200 Industries,CLF,Mines,194,214383,2,0.97549,0.987437,2.001336,0.976186
2022,Top 200 Industries,XSPA,Telcm,187,213729,2,0.943128,0.969849,1.682026,0.941647
2022,Top 200 Industries,PHUN,Unclassified,199,213598,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,X,Steel,197,209612,2,0.99005,0.994975,1.998985,0.991355
2022,Top 200 Industries,DVN,Oil,191,209596,2,0.961353,0.979899,1.456193,0.962926
2022,Top 200 Industries,OCGN,Unclassified,198,205663,2,0.995,0.997487,2.174729,0.995715
2022,Top 200 Industries,MRO,Oil,191,201843,2,0.961353,0.979899,1.314475,0.963498
2022,Top 200 Industries,AVGO,Unclassified,189,201264,2,0.952153,0.974874,1.28067,0.953516
2022,Top 200 Industries,HAL,Oil,188,199386,2,0.947619,0.972362,0.975246,0.949761
2022,Top 200 Industries,ENPH,Unclassified,198,198671,2,0.995,0.997487,2.219389,0.995578
2022,Top 200 Industries,FDX,Trans,198,197693,2,0.995,0.997487,2.314629,0.9952
2022,Top 200 Industries,WBA,Rtail,195,196930,2,0.980296,0.98995,1.727921,0.982262
2022,Top 200 Industries,UAVS,Aero,190,194712,2,0.956731,0.977387,1.829096,0.956351
2022,Top 200 Industries,FCX,Mines,197,193761,2,0.99005,0.994975,2.01876,0.991247
2022,Top 200 Industries,LULU,Rtail,199,191069,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,LMT,Guns,199,190771,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,BIOC,Unclassified,172,190208,2,0.880531,0.932161,1.343384,0.866434
2022,Top 200 Industries,LLY,Drugs,194,189635,2,0.97549,0.987437,1.695675,0.977293
2022,Top 200 Industries,GEVO,Unclassified,194,184306,2,0.97549,0.987437,2.030405,0.975934
2022,Top 200 Industries,MSTR,BusSv,191,182089,2,0.961353,0.979899,1.372938,0.963402
2022,Top 200 Industries,NOW,BusSv,196,182082,2,0.985149,0.992462,2.118141,0.985823
2022,Top 200 Industries,TTD,Unclassified,197,180673,2,0.99005,0.994975,1.966999,0.991452
2022,Top 200 Industries,TXN,Chips,188,172745,2,0.947619,0.972362,0.933464,0.949883
2022,Top 200 Industries,ON,Chips,192,172528,2,0.966019,0.982412,1.377249,0.968344
2022,Top 200 Industries,LOW,Rtail,198,168141,2,0.995,0.997487,2.296303,0.995273
2022,Top 200 Industries,AA,Steel,198,161297,2,0.995,0.997487,2.314629,0.9952
2022,Top 200 Industries,DLTR,Rtail,196,158433,2,0.985149,0.992462,2.056481,0.986034
2022,Top 200 Industries,XELA,Unclassified,199,158402,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,INPX,Unclassified,187,157261,2,0.943128,0.969849,1.759763,0.941366
2022,Top 200 Industries,BMY,Drugs,198,154397,2,0.995,0.997487,2.296303,0.995273
2022,Top 200 Industries,MO,Smoke,189,154185,2,0.952153,0.974874,1.25164,0.953778
2022,Top 200 Industries,SCHW,Fin,183,147414,2,0.925581,0.959799,0.485445,0.926336
2022,Top 200 Industries,BK,Banks,183,138209,2,0.925581,0.959799,0.970289,0.924314
2022,Top 200 Industries,A,LabEq,199,113647,1,1.0,1.0,2.38157,1.0
2022,Top 200 Industries,TNXP,Mines,190,111355,2,0.956731,0.977387,1.813605,0.956454
2022,Top 200 Industries,SNX,Whlsl,191,108578,2,0.961353,0.979899,1.860972,0.961343
2022,Top 200 Industries,MELI,BusSv,195,97018,2,0.980296,0.98995,1.751961,0.982047
2022,Top 200 Industries,OGN,Drugs,194,87493,2,0.97549,0.987437,1.910247,0.976457
