,Unnamed: 0,matched_tickers,week,vader_score,vader_score_avg
0,0,AAL,0,-0.08275,0.1734625
1,1,AAL,2,-0.9243,-0.9243
2,2,AAPL,0,0.1526773109243697,0.29976146260156955
3,3,AAPL,1,0.2157067567567567,0.203213280262937
4,4,AAPL,2,0.2175890624999999,0.4131706984115761
5,5,AAPL,3,0.315615748031496,0.34326895218826814
6,6,ADBE,2,0.8225,0.21420897435897435
7,6,CRM,2,0.8225,0.16837857142857143
8,7,ADBE,1,0.0,0.16711875
9,7,GOOGL,1,0.0,0.1758126281672089
10,8,ADBE,1,0.7096,0.16711875
11,8,MA,1,0.7096,0.25935
12,9,ADBE,3,0.5423,0.23626458333333333
13,9,META,3,0.5423,0.28479402356902356
14,10,ADBE,3,0.0,0.23626458333333333
15,10,MSFT,3,0.0,0.31585208937198067
16,10,AMZN,3,0.0,0.3844485758896151
17,11,ADBE,2,-0.6124,0.21420897435897435
18,11,MSFT,2,-0.6124,0.4138987287840037
19,11,GOOGL,2,-0.6124,0.4473820352170352
20,11,ZM,2,-0.6124,0.16162111613876318
21,12,ADBE,2,0.875,0.21420897435897435
22,12,MSFT,2,0.875,0.4138987287840037
23,12,GOOGL,2,0.875,0.4473820352170352
24,13,ADBE,0,0.0,0.1772
25,13,MSFT,0,0.0,0.29681206093289425
26,13,PYPL,0,0.0,0.1775302564102564
27,13,CRM,0,0.0,0.06575238095238095
28,14,ADBE,2,0.0,0.21420897435897435
29,14,MSFT,2,0.0,0.4138987287840037
30,14,PYPL,2,0.0,0.2446817943982764
31,14,CRM,2,0.0,0.16837857142857143
32,15,ADBE,2,0.0,0.21420897435897435
33,15,ZM,2,0.0,0.16162111613876318
34,16,ADBE,1,0.65915,0.16711875
35,17,ADBE,2,0.2001538461538461,0.21420897435897435
36,18,ADBE,3,0.16649375,0.23626458333333333
37,19,AMC,1,-0.8779,0.1868375
38,19,GME,1,-0.8779,0.26132256371814094
39,20,AMC,2,0.0,0.15133923076923078
40,20,GME,2,0.0,0.3734811962922003
41,21,AMC,0,0.0,0.20760277777777777
42,21,MA,0,0.0,-0.007148437499999993
43,21,V,0,0.0,0.065825
44,22,AMC,2,-0.4767,0.15133923076923078
45,22,MULN,2,-0.4767,0.09669000000000001
46,23,AMC,0,0.218675,0.20760277777777777
47,23,V,0,0.218675,0.065825
48,24,AMC,0,0.1762333333333333,0.20760277777777777
49,25,AMC,1,0.154875,0.1868375
50,26,AMC,2,-0.07424,0.15133923076923078
51,27,AMC,3,-0.1611,0.30462833333333333
52,28,AMZN,0,0.4484999999999999,0.5028255044830326
53,28,AAPL,0,0.4484999999999999,0.29976146260156955
54,29,AMZN,1,0.4608,0.3533063592707615
55,29,AAPL,1,0.4608,0.203213280262937
56,30,AMZN,2,0.3465999999999999,0.3952386590533649
57,30,AAPL,2,0.3465999999999999,0.4131706984115761
58,31,AMZN,3,0.1785,0.3844485758896151
59,31,AAPL,3,0.1785,0.34326895218826814
60,32,AMZN,1,0.6832,0.3533063592707615
61,32,AMC,1,0.6832,0.1868375
62,32,META,1,0.6832,0.14872616099071204
63,32,AAPL,1,0.6832,0.203213280262937
64,33,AMZN,3,0.296,0.3844485758896151
65,33,AMC,3,0.296,0.30462833333333333
66,34,AMZN,2,-0.4883,0.3952386590533649
67,34,DIS,2,-0.4883,0.15453523809523811
68,34,GM,2,-0.4883,0.2211135585308581
69,34,MGM,2,-0.4883,-0.09868809523809524
70,34,INO,2,-0.4883,0.03747559523809523
71,34,AAPL,2,-0.4883,0.4131706984115761
72,34,NFLX,2,-0.4883,0.39194761904761904
73,35,AMZN,2,-0.6558,0.3952386590533649
74,35,DIS,2,-0.6558,0.15453523809523811
75,36,AMZN,2,-0.3098,0.3952386590533649
76,36,GM,2,-0.3098,0.2211135585308581
77,36,DKNG,2,-0.3098,0.22706400000000002
78,36,MGM,2,-0.3098,-0.09868809523809524
79,36,INO,2,-0.3098,0.03747559523809523
80,36,ZM,2,-0.3098,0.16162111613876318
81,37,AMZN,2,0.9904,0.3952386590533649
82,37,GME,2,0.9904,0.3734811962922003
83,37,AAPL,2,0.9904,0.4131706984115761
84,38,AMZN,3,-0.1071,0.3844485758896151
85,38,GME,3,-0.1071,0.22416983018443545
86,38,GM,3,-0.1071,0.25412947530864194
87,38,AMC,3,-0.1071,0.30462833333333333
88,38,AAPL,3,-0.1071,0.34326895218826814
89,39,AMZN,1,0.9768,0.3533063592707615
90,39,GME,1,0.9768,0.26132256371814094
91,39,GM,1,0.9768,0.317255156449553
92,39,GOOGL,1,0.9768,0.1758126281672089
93,39,MSFT,1,0.9768,0.3104508090261114
94,39,AAPL,1,0.9768,0.203213280262937
95,40,AMZN,0,0.2322,0.5028255044830326
96,40,GME,0,0.2322,0.3639096666666667
97,40,GM,0,0.2322,0.23574052192982456
98,40,MSFT,0,0.2322,0.29681206093289425
99,40,SQ,0,0.2322,0.30888816922249124
100,40,AAPL,0,0.2322,0.29976146260156955
101,41,AMZN,3,-0.4469,0.3844485758896151
102,41,GME,3,-0.4469,0.22416983018443545
103,41,GM,3,-0.4469,0.25412947530864194
104,41,MSFT,3,-0.4469,0.31585208937198067
105,41,SQ,3,-0.4469,0.03207113071895425
106,41,AAPL,3,-0.4469,0.34326895218826814
107,42,AMZN,2,0.9298,0.3952386590533649
108,42,GME,2,0.9298,0.3734811962922003
109,43,AMZN,0,0.1779,0.5028255044830326
110,43,GOOGL,0,0.1779,0.29424224203194793
111,43,AAPL,0,0.1779,0.29976146260156955
112,43,V,0,0.1779,0.065825
113,43,NFLX,0,0.1779,0.06319910714285715
114,44,AMZN,1,-0.9164,0.3533063592707615
115,44,GOOGL,1,-0.9164,0.1758126281672089
116,44,AAPL,1,-0.9164,0.203213280262937
117,45,AMZN,2,0.4109,0.3952386590533649
118,45,GOOGL,2,0.4109,0.4473820352170352
119,45,AAPL,2,0.4109,0.4131706984115761
120,46,AMZN,3,0.1665333333333333,0.3844485758896151
121,46,GOOGL,3,0.1665333333333333,0.32690003174603177
122,46,AAPL,3,0.1665333333333333,0.34326895218826814
123,47,AMZN,3,0.9678,0.3844485758896151
124,47,GOOGL,3,0.9678,0.32690003174603177
125,47,META,3,0.9678,0.28479402356902356
126,47,AAPL,3,0.9678,0.34326895218826814
127,48,AMZN,0,0.1779,0.5028255044830326
128,48,GOOGL,0,0.1779,0.29424224203194793
129,48,MSFT,0,0.1779,0.29681206093289425
130,48,AAPL,0,0.1779,0.29976146260156955
131,48,NFLX,0,0.1779,0.06319910714285715
132,49,AMZN,1,-0.1873,0.3533063592707615
133,49,GOOGL,1,-0.1873,0.1758126281672089
134,49,MSFT,1,-0.1873,0.3104508090261114
135,49,ADBE,1,-0.1873,0.16711875
136,49,PYPL,1,-0.1873,0.1938610119047619
137,49,V,1,-0.1873,-0.08019814814814817
138,50,AMZN,1,0.6808,0.3533063592707615
139,50,GOOGL,1,0.6808,0.1758126281672089
140,50,MSFT,1,0.6808,0.3104508090261114
141,50,INTC,1,0.6808,0.29930769230769233
142,50,AAPL,1,0.6808,0.203213280262937
143,51,AMZN,1,0.5749,0.3533063592707615
144,51,GOOGL,1,0.5749,0.1758126281672089
145,51,MSFT,1,0.5749,0.3104508090261114
146,51,NVDA,1,0.5749,0.2098035087719298
147,51,AAPL,1,0.5749,0.203213280262937
148,52,AMZN,2,0.43435,0.3952386590533649
149,52,GOOGL,2,0.43435,0.4473820352170352
150,52,MSFT,2,0.43435,0.4138987287840037
151,52,NVDA,2,0.43435,0.28561147058823527
152,52,AAPL,2,0.43435,0.4131706984115761
153,53,AMZN,3,0.9787,0.3844485758896151
154,53,GOOGL,3,0.9787,0.32690003174603177
155,53,MSFT,3,0.9787,0.31585208937198067
156,53,NVDA,3,0.9787,0.25299053273809524
157,53,PLTR,3,0.9787,0.27103875
158,53,AAPL,3,0.9787,0.34326895218826814
159,54,AMZN,3,0.9652,0.3844485758896151
160,54,GOOGL,3,0.9652,0.32690003174603177
161,54,MSFT,3,0.9652,0.31585208937198067
162,54,PLTR,3,0.9652,0.27103875
163,54,AAPL,3,0.9652,0.34326895218826814
164,55,AMZN,2,0.8115,0.3952386590533649
165,55,GOOGL,2,0.8115,0.4473820352170352
166,55,MSFT,2,0.8115,0.4138987287840037
167,55,PYPL,2,0.8115,0.2446817943982764
168,55,AAPL,2,0.8115,0.4131706984115761
169,56,AMZN,3,-0.9578,0.3844485758896151
170,56,GOOGL,3,-0.9578,0.32690003174603177
171,56,MSFT,3,-0.9578,0.31585208937198067
172,56,SQ,3,-0.9578,0.03207113071895425
173,56,AAPL,3,-0.9578,0.34326895218826814
174,57,AMZN,1,0.6908,0.3533063592707615
175,57,GOOGL,1,0.6908,0.1758126281672089
176,57,NFLX,1,0.6908,0.250915625
177,57,MSFT,1,0.6908,0.3104508090261114
178,57,NVDA,1,0.6908,0.2098035087719298
179,57,AAPL,1,0.6908,0.203213280262937
180,58,AMZN,2,0.9652,0.3952386590533649
181,58,GOOGL,2,0.9652,0.4473820352170352
182,58,NKLA,2,0.9652,0.6551466666666667
183,58,PLTR,2,0.9652,0.3558397222222222
184,58,AAPL,2,0.9652,0.4131706984115761
185,59,AMZN,2,-0.296,0.3952386590533649
186,59,GOOGL,2,-0.296,0.4473820352170352
187,59,ROKU,2,-0.296,0.347355303030303
188,60,AMZN,3,0.5574,0.3844485758896151
189,60,GOOGL,3,0.5574,0.32690003174603177
190,60,ROKU,3,0.5574,0.41131
191,61,AMZN,3,0.3387,0.3844485758896151
192,61,GOOGL,3,0.3387,0.32690003174603177
193,61,SQ,3,0.3387,0.03207113071895425
194,62,AMZN,0,0.1151166666666666,0.5028255044830326
195,62,GOOGL,0,0.1151166666666666,0.29424224203194793
196,63,AMZN,1,0.3145888888888889,0.3533063592707615
197,63,GOOGL,1,0.3145888888888889,0.1758126281672089
198,64,AMZN,2,0.4833,0.3952386590533649
199,64,GOOGL,2,0.4833,0.4473820352170352
200,65,AMZN,3,0.184428,0.3844485758896151
201,65,GOOGL,3,0.184428,0.32690003174603177
202,66,AMZN,1,-0.5719,0.3533063592707615
203,66,INO,1,-0.5719,0.16264783333333335
204,66,NFLX,1,-0.5719,0.250915625
205,67,AMZN,2,-0.6486,0.3952386590533649
206,67,INO,2,-0.6486,0.03747559523809523
207,68,AMZN,1,-0.6597,0.3533063592707615
208,68,JNJ,1,-0.6597,0.07373000000000002
209,68,MSFT,1,-0.6597,0.3104508090261114
210,68,PFE,1,-0.6597,-0.29296666666666665
211,68,WMT,1,-0.6597,0.12812857142857143
212,68,NVDA,1,-0.6597,0.2098035087719298
213,69,AMZN,1,0.2732,0.3533063592707615
214,69,KO,1,0.2732,0.1971351515151515
215,69,GOOGL,1,0.2732,0.1758126281672089
216,69,JNJ,1,0.2732,0.07373000000000002
217,69,MSFT,1,0.2732,0.3104508090261114
218,69,INTC,1,0.2732,0.29930769230769233
219,69,AAPL,1,0.2732,0.203213280262937
220,70,AMZN,3,-0.0007,0.3844485758896151
221,70,KO,3,-0.0007,0.18623882352941176
222,70,MSFT,3,-0.0007,0.31585208937198067
223,70,PYPL,3,-0.0007,0.10325616883116884
224,70,SQ,3,-0.0007,0.03207113071895425
225,70,WMT,3,-0.0007,-0.017069230769230764
226,71,AMZN,0,0.9615,0.5028255044830326
227,71,KO,0,0.9615,0.4289691358024691
228,72,AMZN,1,0.00885,0.3533063592707615
229,72,KO,1,0.00885,0.1971351515151515
230,73,AMZN,3,0.6486,0.3844485758896151
231,73,KO,3,0.6486,0.18623882352941176
232,74,AMZN,0,0.8482,0.5028255044830326
233,74,META,0,0.8482,0.4716703947368421
234,75,AMZN,0,0.3809,0.5028255044830326
235,75,NFLX,0,0.3809,0.06319910714285715
236,75,AAPL,0,0.3809,0.29976146260156955
237,76,AMZN,3,0.9865,0.3844485758896151
238,76,NFLX,3,0.9865,0.257428663003663
239,76,AAPL,3,0.9865,0.34326895218826814
240,77,AMZN,1,-0.6597,0.3533063592707615
241,77,NFLX,1,-0.6597,0.250915625
242,78,AMZN,2,0.765,0.3952386590533649
243,78,NFLX,2,0.765,0.39194761904761904
244,79,AMZN,2,0.9316,0.3952386590533649
245,79,OXY,2,0.9316,0.28145902777777776
246,79,AAPL,2,0.9316,0.4131706984115761
247,80,AMZN,2,0.6096,0.3952386590533649
248,80,PTON,2,0.6096,0.1344257142857143
249,81,AMZN,2,0.683,0.3952386590533649
250,81,PYPL,2,0.683,0.2446817943982764
251,82,AMZN,3,0.6478,0.3844485758896151
252,82,ROKU,3,0.6478,0.41131
253,82,AAPL,3,0.6478,0.34326895218826814
254,83,AMZN,0,0.4215,0.5028255044830326
255,83,ROKU,0,0.4215,0.3314690476190476
256,84,AMZN,2,0.0556,0.3952386590533649
257,84,ROKU,2,0.0556,0.347355303030303
258,85,AMZN,0,0.6604,0.5028255044830326
259,85,SNAP,0,0.6604,0.41109999999999997
260,86,AMZN,2,0.4767,0.3952386590533649
261,86,SOFI,2,0.4767,0.3686289196310935
262,86,SQ,2,0.4767,0.12441635642135641
263,86,V,2,0.4767,0.2962
264,87,AMZN,2,0.4588,0.3952386590533649
265,87,SOFI,2,0.4588,0.3686289196310935
266,88,AMZN,0,0.8588,0.5028255044830326
267,88,SPCE,0,0.8588,0.35515833333333335
268,89,AMZN,2,0.91,0.3952386590533649
269,89,SQ,2,0.91,0.12441635642135641
270,89,AMC,2,0.91,0.15133923076923078
271,89,PFE,2,0.91,0.3601
272,90,AMZN,0,0.6596,0.5028255044830326
273,90,SQ,0,0.6596,0.30888816922249124
274,91,AMZN,1,0.6642,0.3533063592707615
275,91,SQ,1,0.6642,-0.012329933333333338
276,92,AMZN,3,0.6605,0.3844485758896151
277,92,SQ,3,0.6605,0.03207113071895425
278,93,AMZN,2,0.5423,0.3952386590533649
279,93,V,2,0.5423,0.2962
280,93,AAPL,2,0.5423,0.4131706984115761
281,94,AMZN,1,0.9872,0.3533063592707615
282,94,V,1,0.9872,-0.08019814814814817
283,95,AMZN,1,0.88215,0.3533063592707615
284,95,ZM,1,0.88215,0.3183990196078431
285,96,AMZN,0,0.3156483146067416,0.5028255044830326
286,97,AMZN,1,0.2865496894409938,0.3533063592707615
287,98,AMZN,2,0.2992192307692308,0.3952386590533649
288,99,AMZN,3,0.2707617647058823,0.3844485758896151
289,100,BA,0,0.2486,0.195765
290,100,AAPL,0,0.2486,0.29976146260156955
291,101,BA,3,-0.9643,0.05973999999999999
292,101,KO,3,-0.9643,0.18623882352941176
293,102,BA,0,0.3182,0.195765
294,102,META,0,0.3182,0.4716703947368421
295,103,BA,1,0.9011,0.7765
296,103,NKLA,1,0.9011,0.6160583333333334
297,103,KO,1,0.9011,0.1971351515151515
298,104,BA,0,0.220425,0.195765
299,105,BA,1,0.6519,0.7765
300,106,BA,2,-0.1197499999999999,0.40985000000000005
301,107,BA,3,0.08806,0.05973999999999999
302,108,BAC,0,0.2732,0.18963333333333332
303,108,AAPL,0,0.2732,0.29976146260156955
304,109,BAC,1,0.3612,0.3612
305,109,AMZN,1,0.3612,0.3533063592707615
306,109,MSFT,1,0.3612,0.3104508090261114
307,109,AAPL,1,0.3612,0.203213280262937
308,110,BAC,0,0.2957,0.18963333333333332
309,111,BAC,2,0.0,0.0
310,112,BAC,3,-0.42015,-0.42015
311,113,BBIG,3,0.9595,0.9595
312,113,AMC,3,0.9595,0.30462833333333333
313,114,BBIG,2,0.56645,0.56645
314,114,MULN,2,0.56645,0.09669000000000001
315,115,BYND,2,0.0,0.0
316,115,PYPL,2,0.0,0.2446817943982764
317,115,DKNG,2,0.0,0.22706400000000002
318,116,BYND,0,-0.0099,-0.00495
319,117,BYND,3,0.3223,0.3223
320,118,COST,0,0.8485,0.5458868686868686
321,118,AAPL,0,0.8485,0.29976146260156955
322,119,COST,1,0.34,0.53285
323,119,AAPL,1,0.34,0.203213280262937
324,120,COST,2,0.5927,0.22301111111111108
325,120,AMZN,2,0.5927,0.3952386590533649
326,120,TSLA,2,0.5927,0.47281932471264365
327,121,COST,1,0.4404,0.53285
328,121,AMZN,1,0.4404,0.3533063592707615
329,121,WMT,1,0.4404,0.12812857142857143
330,121,AAPL,1,0.4404,0.203213280262937
331,122,COST,0,0.34,0.5458868686868686
332,122,AMZN,0,0.34,0.5028255044830326
333,123,COST,2,-0.9573,0.22301111111111108
334,123,AMZN,2,-0.9573,0.3952386590533649
335,124,COST,0,-0.3182,0.5458868686868686
336,124,CRM,0,-0.3182,0.06575238095238095
337,124,GM,0,-0.3182,0.23574052192982456
338,125,COST,1,0.8326,0.53285
339,125,DIS,1,0.8326,0.38201111111111113
340,126,COST,0,0.5119,0.5458868686868686
341,126,GOOGL,0,0.5119,0.29424224203194793
342,127,COST,3,-0.8544,0.18259545454545456
343,127,GOOGL,3,-0.8544,0.32690003174603177
344,128,COST,3,0.8714,0.18259545454545456
345,128,HD,3,0.8714,0.31328124999999996
346,128,AAPL,3,0.8714,0.34326895218826814
347,129,COST,0,0.9886,0.5458868686868686
348,129,MRNA,0,0.9886,0.3260466666666667
349,129,SQ,0,0.9886,0.30888816922249124
350,130,COST,3,0.9945,0.18259545454545456
351,130,MSFT,3,0.9945,0.31585208937198067
352,130,GOOGL,3,0.9945,0.32690003174603177
353,130,AAPL,3,0.9945,0.34326895218826814
354,131,COST,1,0.6705,0.53285
355,131,MSFT,1,0.6705,0.3104508090261114
356,131,GOOGL,1,0.6705,0.1758126281672089
357,132,COST,2,0.9847,0.22301111111111108
358,132,MSFT,2,0.9847,0.4138987287840037
359,132,META,2,0.9847,0.05023029966703662
360,132,AAPL,2,0.9847,0.4131706984115761
361,133,COST,3,0.3818,0.18259545454545456
362,133,MSFT,3,0.3818,0.31585208937198067
363,133,NVDA,3,0.3818,0.25299053273809524
364,134,COST,0,0.5709,0.5458868686868686
365,134,MSFT,0,0.5709,0.29681206093289425
366,134,WMT,0,0.5709,0.3033158333333333
367,135,COST,3,-0.4215,0.18259545454545456
368,135,MSFT,3,-0.4215,0.31585208937198067
369,136,COST,0,0.0,0.5458868686868686
370,136,NVDA,0,0.0,0.380986447368421
371,136,TSLA,0,0.0,0.26962302083333334
372,137,COST,0,0.8658,0.5458868686868686
373,137,OXY,0,0.8658,0.5571068181818182
374,137,SQ,0,0.8658,0.30888816922249124
