Feature,Coefficient,Std_Error,t_stat,p_value
const,1.5943846043450205,3.190218808326805,0.4997728056092923,0.6172350610720778
pos_sentiment,1.963857701395923,6.0267367626396515,0.32585755421907175,0.7445321311617907
neg_sentiment,-9.659125400807817,7.0456256153091745,-1.3709393499166158,0.17039386338630735
spillover_eigen,64.20185676851911,74.56266606022012,0.8610456165377299,0.38921291968631966
spillover_betweenness,-71.1637619688008,75.70738771075968,-0.9399843809257055,0.3472255724244667
ind_Autos,0.43270360011235287,2.854389880903538,0.15159232556394275,0.8795084867626479
ind_Banks,1.8148544661756538,2.9824622040151154,0.6085087897283059,0.5428500780824923
ind_BusSv,3.6077993385247256,2.9844845299621157,1.2088517471961975,0.22671980694122895
ind_Chips,5.329578749576925,3.6599408762764654,1.456192580629638,0.14533938997092502
ind_Clths,1.9597926889815476,3.17439420620559,0.6173753357885954,0.5369871864119505
ind_Comps,0.30778996883871046,2.4042360214944747,0.12801986414270095,0.8981332530756295
ind_Drugs,0.20977110695681078,2.526117299065625,0.0830409209558092,0.9338190017417134
ind_ElcEq,0.3931235160417623,1.943947377602458,0.20222950506336032,0.8397373079262769
ind_Fin,2.228774958333942,3.528150126905209,0.6317120525392604,0.5275750509594299
ind_Fun,2.2385981724854194,3.347044811119836,0.6688282645778026,0.5036050344891536
ind_LabEq,3.1768156544501744,6.70753449929429,0.47361898098092703,0.6357716375763671
ind_Meals,1.2970257307077642,2.910659680237931,0.4456122917818201,0.6558773300847596
ind_MedEq,-1.7366313065851553,2.302445527028908,-0.7542551110106464,0.4506960510044644
ind_Oil,2.572837906326334,4.25836065901762,0.6041850637704964,0.5457206100805374
ind_Rtail,2.5369029654724384,3.705571881360175,0.6846184736649171,0.4935847065164437
ind_Smoke,-5.895459542537852,3.1332651500168502,-1.8815705854023068,0.059894343132679266
ind_Telcm,-0.8090197652652811,2.4092548687237656,-0.33579667131432894,0.737024200482232
ind_Trans,-0.8901782351008001,2.7492778740718764,-0.32378619982213097,0.7460999048075054
ind_Unclassified,5.963057667811519,4.022254292860565,1.4825163288148757,0.13820296207464322
